t_sec,POM_5V_IN_mW,POM_5V_GPU_mW,POM_5V_CPU_mW,total_mW
22.360,3245,360,1201,3245
22.466,3089,240,1241,3089
22.571,3205,320,1201,3205
22.677,3049,200,1241,3049
22.783,3124,280,1201,3124
22.888,3165,320,1201,3165
22.994,3049,240,1201,3049
23.099,3205,360,1201,3205
23.205,3205,280,1322,3205
23.311,3285,400,1201,3285
23.417,3205,240,1322,3205
23.523,3205,360,1161,3205
23.630,3049,240,1201,3049
23.737,3124,280,1201,3124
23.843,3084,320,1161,3084
23.950,3084,240,1201,3084
24.056,3165,360,1161,3165
24.162,3004,240,1201,3004
24.268,3165,360,1121,3165
24.375,3049,240,1201,3049
24.481,3245,400,1160,3245
24.588,3049,240,1241,3049
24.695,3124,280,1201,3124
24.801,3044,320,1161,3044
24.908,3049,240,1201,3049
25.015,3245,400,1160,3245
25.121,3009,240,1201,3009
25.227,3165,360,1161,3165
25.333,3049,240,1201,3049
25.439,3205,360,1161,3205
25.544,3009,240,1201,3009
25.650,3165,320,1161,3165
25.756,3124,200,1282,3124
25.862,3084,280,1201,3084
25.967,3205,320,1201,3205
26.073,3089,240,1241,3089
26.180,3245,400,1161,3245
26.286,3124,280,1201,3124
26.392,3165,360,1121,3165
26.498,3044,240,1201,3044
26.604,3205,360,1161,3205
26.710,3009,200,1241,3009
26.816,3124,320,1201,3124
26.921,3124,320,1201,3124
27.027,3049,240,1201,3049
27.133,3165,360,1161,3165
27.240,3084,280,1201,3084
27.346,3205,400,1161,3205
27.451,3049,240,1201,3049
27.557,3205,360,1161,3205
27.662,3049,240,1201,3049
27.768,3124,320,1161,3124
27.873,3009,240,1201,3009
27.979,3084,280,1201,3084
28.085,3165,320,1201,3165
28.190,3009,240,1201,3009
28.296,3165,360,1161,3165
28.402,3084,240,1201,3084
28.508,3245,400,1161,3245
28.614,3049,240,1201,3049
28.720,3165,320,1161,3165
28.825,3009,200,1241,3009
28.931,3089,280,1201,3089
29.037,3205,400,1161,3205
29.144,3049,240,1201,3049
29.250,3165,360,1161,3165
29.355,3089,280,1201,3089
29.461,3205,360,1161,3205
29.566,3049,240,1201,3049
29.671,3245,360,1161,3245
29.777,3009,240,1201,3009
29.882,3084,280,1201,3084
29.988,3084,320,1161,3084
30.094,3049,240,1201,3049
30.199,3285,400,1200,3285
30.305,3165,240,1360,3165
30.410,3205,360,1200,3205
30.516,3124,280,1241,3124
30.622,3205,360,1161,3205
