t_sec,POM_5V_IN_mW,POM_5V_GPU_mW,POM_5V_CPU_mW,total_mW
22.375,3004,0,1362,3004
22.481,3084,0,1442,3084
22.588,2929,0,1442,2929
22.694,3044,0,1442,3044
22.800,3124,0,1482,3124
22.906,3044,0,1442,3044
23.012,3084,0,1482,3084
23.118,3084,0,1442,3084
23.224,2929,0,1282,2929
23.330,3004,0,1362,3004
23.436,2969,0,1402,2969
23.542,3245,0,1680,3245
23.648,3165,0,1520,3165
23.754,3124,0,1560,3124
23.860,3084,0,1520,3084
23.966,3124,0,1482,3124
24.071,2889,0,1322,2889
24.177,2964,0,1402,2964
24.283,3044,0,1442,3044
24.389,3084,0,1522,3084
24.495,3044,0,1442,3044
24.601,3044,0,1482,3044
24.707,3084,0,1482,3084
24.813,3004,0,1402,3004
24.919,2889,0,1322,2889
25.025,2964,0,1402,2964
25.131,3004,0,1442,3004
25.237,3084,0,1522,3084
25.343,3044,0,1442,3044
25.449,3084,0,1482,3084
25.555,3124,0,1520,3124
25.661,2929,0,1322,2929
25.767,2929,0,1362,2929
25.873,3044,0,1482,3044
25.979,3084,0,1482,3084
26.085,3245,0,1640,3245
26.191,3205,0,1640,3205
26.297,3084,0,1482,3084
26.403,3205,0,1560,3205
26.509,2929,0,1362,2929
26.615,2964,0,1402,2964
26.721,3044,0,1442,3044
26.827,3004,0,1402,3004
26.933,3124,0,1522,3124
27.039,3124,0,1520,3124
27.145,2964,0,1362,2964
27.251,3084,0,1442,3084
27.357,2889,0,1322,2889
27.463,2969,0,1402,2969
27.569,3084,0,1482,3084
27.675,3004,0,1402,3004
27.781,3084,0,1482,3084
27.887,3124,0,1482,3124
27.993,2929,0,1322,2929
28.098,3004,0,1402,3004
28.204,2964,0,1442,2964
28.311,3044,0,1482,3044
28.417,3124,0,1442,3124
28.523,3245,0,1680,3245
28.628,2924,0,1362,2924
28.734,3205,0,1560,3205
28.840,2969,0,1362,2969
28.945,3084,0,1442,3084
29.051,2964,0,1402,2964
29.157,3044,0,1482,3044
29.263,3084,0,1482,3084
29.369,3044,0,1482,3044
29.475,3084,0,1442,3084
29.581,3044,0,1442,3044
29.687,2889,0,1282,2889
29.793,2964,0,1402,2964
29.899,3004,0,1402,3004
30.005,3084,0,1482,3084
