seed=2 N=  1000    dense: 0.5680 (β=100000, gain=16, k=40, 1000問)
seed=2 N=  1000   cortex: 0.5970 (β=1e+06, gain=64, k=40, 1000問)
seed=2 N=  1000     dict: 0.5980 (β=0, gain=16, k=40, 1000問)
seed=2 N=  1000 sdr-dict: 0.0550 (β=0, gain=16, k=640, 1000問)
seed=2 N=  1000     none: 0.0150 (β=0, gain=0, k=40, 1000問)
seed=2 N= 10000      sdr: 0.0234 (β=1e+06, gain=64, k=640, 10000問)
seed=2 N= 10000    dense: 0.3284 (β=100000, gain=64, k=40, 10000問)
seed=2 N= 10000   cortex: 0.3650 (β=100000, gain=64, k=40, 10000問)
seed=2 N= 10000     dict: 0.3647 (β=0, gain=16, k=40, 10000問)
seed=2 N= 10000 sdr-dict: 0.0236 (β=0, gain=16, k=640, 10000問)
seed=2 N= 10000     none: 0.0142 (β=0, gain=0, k=40, 10000問)
seed=3 N=     1      sdr: 1.0000 (β=100, gain=16, k=40, 500問)
seed=3 N=     1    dense: 1.0000 (β=100, gain=16, k=40, 500問)
seed=3 N=     1   cortex: 1.0000 (β=100, gain=16, k=40, 500問)
seed=3 N=     1     dict: 1.0000 (β=0, gain=16, k=40, 500問)
seed=3 N=     1 sdr-dict: 1.0000 (β=0, gain=16, k=40, 500問)
seed=3 N=     1     none: 0.0100 (β=0, gain=0, k=40, 500問)
seed=3 N=    10      sdr: 0.4740 (β=1e+06, gain=16, k=640, 500問)
seed=3 N=    10    dense: 0.9460 (β=10000, gain=64, k=40, 500問)
seed=3 N=    10   cortex: 0.9540 (β=10000, gain=64, k=40, 500問)
seed=3 N=    10     dict: 0.9520 (β=0, gain=16, k=40, 500問)
seed=3 N=    10 sdr-dict: 0.4540 (β=0, gain=16, k=640, 500問)
seed=3 N=    10     none: 0.0100 (β=0, gain=0, k=40, 500問)
seed=3 N=   100      sdr: 0.1620 (β=1000, gain=64, k=640, 500問)
seed=3 N=   100    dense: 0.7880 (β=100000, gain=16, k=40, 500問)
seed=3 N=   100   cortex: 0.8280 (β=100000, gain=16, k=40, 500問)
seed=3 N=   100     dict: 0.8280 (β=0, gain=16, k=40, 500問)
seed=3 N=   100 sdr-dict: 0.1540 (β=0, gain=16, k=640, 500問)
seed=3 N=   100     none: 0.0140 (β=0, gain=0, k=40, 500問)
seed=3 N=  1000      sdr: 0.0440 (β=1e+06, gain=64, k=640, 1000問)
seed=3 N=  1000    dense: 0.5300 (β=1e+06, gain=16, k=40, 1000問)
seed=3 N=  1000   cortex: 0.5740 (β=100000, gain=64, k=40, 1000問)
seed=3 N=  1000     dict: 0.5740 (β=0, gain=16, k=40, 1000問)
seed=3 N=  1000 sdr-dict: 0.0440 (β=0, gain=16, k=640, 1000問)
seed=3 N=  1000     none: 0.0100 (β=0, gain=0, k=40, 1000問)
seed=3 N= 10000      sdr: 0.0244 (β=10000, gain=64, k=640, 10000問)
seed=3 N= 10000    dense: 0.2697 (β=1e+06, gain=16, k=40, 10000問)
seed=3 N= 10000   cortex: 0.3040 (β=1e+06, gain=16, k=40, 10000問)
seed=3 N= 10000     dict: 0.3037 (β=0, gain=16, k=40, 10000問)
seed=3 N= 10000 sdr-dict: 0.0240 (β=0, gain=16, k=640, 10000問)
seed=3 N= 10000     none: 0.0168 (β=0, gain=0, k=40, 10000問)
seed=4 N=     1      sdr: 1.0000 (β=100, gain=16, k=40, 500問)
seed=4 N=     1    dense: 1.0000 (β=100, gain=16, k=40, 500問)
seed=4 N=     1   cortex: 1.0000 (β=100, gain=16, k=40, 500問)
seed=4 N=     1     dict: 1.0000 (β=0, gain=16, k=40, 500問)
seed=4 N=     1 sdr-dict: 1.0000 (β=0, gain=16, k=40, 500問)
seed=4 N=     1     none: 0.0100 (β=0, gain=0, k=40, 500問)
seed=4 N=    10      sdr: 0.4080 (β=10000, gain=64, k=640, 500問)
seed=4 N=    10    dense: 0.9420 (β=10000, gain=64, k=40, 500問)
seed=4 N=    10   cortex: 0.9480 (β=10000, gain=64, k=40, 500問)
seed=4 N=    10     dict: 0.9460 (β=0, gain=16, k=40, 500問)
seed=4 N=    10 sdr-dict: 0.3980 (β=0, gain=16, k=640, 500問)
seed=4 N=    10     none: 0.0160 (β=0, gain=0, k=40, 500問)
seed=4 N=   100      sdr: 0.1200 (β=1000, gain=64, k=640, 500問)
seed=4 N=   100    dense: 0.7780 (β=100000, gain=16, k=40, 500問)
seed=4 N=   100   cortex: 0.8100 (β=100000, gain=16, k=40, 500問)
seed=4 N=   100     dict: 0.8100 (β=0, gain=16, k=40, 500問)
seed=4 N=   100 sdr-dict: 0.1240 (β=0, gain=16, k=640, 500問)
seed=4 N=   100     none: 0.0120 (β=0, gain=0, k=40, 500問)
seed=4 N=  1000      sdr: 0.0510 (β=1e+06, gain=64, k=640, 1000問)
seed=4 N=  1000    dense: 0.4790 (β=100000, gain=16, k=40, 1000問)
seed=4 N=  1000   cortex: 0.5190 (β=1e+06, gain=16, k=40, 1000問)
seed=4 N=  1000     dict: 0.5190 (β=0, gain=16, k=40, 1000問)
seed=4 N=  1000 sdr-dict: 0.0480 (β=0, gain=16, k=640, 1000問)
seed=4 N=  1000     none: 0.0170 (β=0, gain=0, k=40, 1000問)
seed=4 N= 10000      sdr: 0.0206 (β=1e+06, gain=64, k=640, 10000問)
seed=4 N= 10000    dense: 0.2415 (β=100000, gain=64, k=40, 10000問)
seed=4 N= 10000   cortex: 0.2685 (β=100000, gain=16, k=40, 10000問)
seed=4 N= 10000     dict: 0.2677 (β=0, gain=16, k=40, 10000問)
seed=4 N= 10000 sdr-dict: 0.0214 (β=0, gain=16, k=640, 10000問)
seed=4 N= 10000     none: 0.0156 (β=0, gain=0, k=40, 10000問)

チャンスレベル 0.0156 / 書き出し: results/hippocampus/recall_curve_noise0.1.json
     sdr  N=1:1.000  N=10:0.452  N=100:0.136  N=1000:0.049  N=10000:0.022
   dense  N=1:1.000  N=10:0.954  N=100:0.797  N=1000:0.517  N=10000:0.276
  cortex  N=1:1.000  N=10:0.960  N=100:0.832  N=1000:0.558  N=10000:0.311
    dict  N=1:1.000  N=10:0.958  N=100:0.830  N=1000:0.559  N=10000:0.311
sdr-dict  N=1:1.000  N=10:0.449  N=100:0.132  N=1000:0.046  N=10000:0.022
    none  N=1:0.014  N=10:0.012  N=100:0.015  N=1000:0.015  N=10000:0.016
